plant,treatment,species,fruit_number,poll.access,ant.access,omit.tc.nosp,vacant,weight.in.grams,width (mm),seed_count,blackened?,number.blackened,number.unblackened,seed_mass,abort?,notes
1,PAAA,c,1,y,y,n,n,2.7,17.41,131,y,7,124,1.07942,n,damage
1,PAAA,c,2,y,y,n,n,3.4,19.77,276,y,96,180,1.44898,n,
2,PAAA,c,1,y,y,n,n,2,15.68,58,y,9,49,0.51043,n,
2,PAAA,c,2,y,y,n,n,1.9,16.36,68,y,6,62,0.44522,n,
2,PAAA,c,3,y,y,n,n,1.7,16.01,63,y,6,57,0.44977,n,
3,PAAA,c,1,y,y,n,n,0.2,7.96,0,n,0,0,0,y,abort
3,PAAA,c,2,y,y,n,n,0.5,11.59,0,n,0,0,0,y,abort
3,PAAA,c,3,y,y,n,n,1.5,17.37,89,y,38,51,0.38453,n,
3,PAAA,c,4,y,y,n,n,1.5,13.95,129,y,28,101,0.4559,n,
4,PAAA,c,1,y,y,n,n,2.9,20.17,189,y,46,143,1.2,n,damage
4,PAAA,c,2,y,y,n,n,0.4,10.86,0,n,0,0,0,y,abort
5,PAAA,c,1,y,y,n,n,2.1,10.98,160,n,0,160,0.94687,n,
6,tc,c,1,y,y,y,n,2.9,21.31,95,y,77,18,0.72326,n,
6,PAAA,c,1,y,y,n,n,3.6,21.97,118,y,8,110,1.7,n,
6,PAAA,c,2,y,y,n,n,2.6,17.14,91,y,9,82,1.655,n,
7,PAAA,c,1,y,y,n,n,4.1,19.74,307,y,12,285,2.76519,n,
7,PAAA,c,2,y,y,n,n,4.2,20.21,256,y,6,250,2.525,n,
7,tc,c,1,y,y,y,n,3.4,22.87,180,y,163,17,1.4,n,
7,tc,c,2,y,y,y,n,2.5,23.55,208,y,196,12,0.5,n,
10,PAAA,c,1,y,y,n,n,5.5,27.42,352,n,0,352,3.3,n,
11,PAAA,c,1,y,y,n,n,0.7,15.2,0,n,0,0,0,n,
11,PAAA,c,2,y,y,n,n,0.8,19.73,0,n,0,0,0,n,
11,PAAA,c,3,y,y,n,n,1.2,17.75,130,n,0,130,0.3,n,
11,PAAA,c,4,y,y,n,n,0.7,15.61,0,n,0,0,0,n,
11,PAAA,c,5,y,y,n,n,1,15.96,35,y,9,26,0.1,n,
11,PAAA,c,6,y,y,n,n,1,16.3,22,y,3,19,0.0566,n,
11,tc,c,1,y,y,y,n,1.3,17.14,35,y,25,10,0.17626,n,
11,tc,c,2,y,y,y,n,1.4,16.98,72,y,53,19,0.24404,n,
12,PAAA,c,1,y,y,n,n,2.3,21.63,146,y,7,139,1,n,damage on crown
12,PAAE,c,1,y,y,n,n,2.4,23.16,99,y,23,76,0.90401,n,
12,PAAE,c,2,y,y,n,n,2.8,25.32,159,y,17,142,1.5535,n,
13,PAAA,c,1,y,y,n,n,1.7,20.78,0,n,0,0,0,n,damage on rim and in crater
13,PAAA,c,2,y,y,n,n,1.4,16.65,0,n,0,0,0,n,appearance similar to unpollinated fruits/shriveled
13,PAAA,c,3,y,y,n,n,1.2,16.91,0,n,0,0,0,n,appearance similar to unpollinated fruits/shriveled
14,PAAA,c,1,y,y,n,n,,,0,n,0,0,0,y,abort
14,PAAA,c,2,y,y,n,n,,,0,n,0,0,0,y,abort
14,PAAA,c,3,y,y,n,n,,,0,n,0,0,0,y,abort
15,PAAA,c,3,y,y,n,n,2.1,19.92,121,y,5,116,1.1,n,
15,PAAA,c,2,y,y,n,n,2.4,22.95,120,n,0,120,1.2,n,
15,PAAA,c,1,y,y,n,n,1.7,16.62,71,y,5,66,0.7,,
16,PAAA,c,1,y,y,n,n,2.6,18.39,111,y,34,77,0.9,n,
17,PAAA,c,1,y,y,n,n,1.7,23.432,148,n,0,148,0.7,n,
17,PAAA,c,2,y,y,n,n,2,23.874,106,n,0,106,0.8,n,
17,PAAA,c,3,y,y,n,n,2,23.808,177,n,0,177,1,n,
19,PAAA,c,1,y,y,n,n,3.2,21.73,357,y,44,313,1.8,n,
23,PAAA,l,1,y,y,n,n,2.1,15.99,92,n,0,92,1.07882,n,
23,PAAA,l,2,y,y,n,n,2.3,16.66,97,n,0,97,1.16175,n,
23,PAAA,l,3,y,y,n,n,1.8,14.38,84,n,0,84,0.91455,n,
24,PAAA,l,1,y,y,n,n,3.1,20.79,156,n,0,156,1.5,n,
25,PAAA,l,1,y,y,n,n,2.4,17.21,198,y,30,168,1.2,n,
